Province,Diabetes Number of Population,Diabetes Percent of Population,Covis Total Case,Covid Total Deaths,Covid Death Rate
Alberta,246500,6.7,334203,3235,0.967974554
British Columbia,294200,7,217099,2322,1.069558128
Manitoba,73400,6.8,67420,1305,1.93562741
New Brunswick,64600,9.9,8087,123,1.520959565
Newfoundland and Labrador,48300,10.6,2048,18,0.87890625
Nova Scotia,66300,8,8169,108,1.322071245
Ontario,1086100,8.6,615197,9991,1.624032627
Prince Edward Island,11400,8.5,367,0,0
Quebec,537500,7.4,444585,11571,2.602651911
Saskatchewan,66800,7.2,80775,916,1.134014237
