Province,Percent of Population Obese,Covid Total Case,Covid Total Deaths,Covid Death Rate
Alberta,21.40707692,334203,3235,0.967974554
British Columbia,16.11448231,217099,2322,1.069558128
Manitoba,23.62853059,67420,1305,1.93562741
New Brunswick,26.59793496,8087,123,1.520959565
Newfoundland and Labrador,30.33851903,2048,18,0.87890625
Nova Scotia,25.10711234,8169,108,1.322071245
Ontario,20.27336279,615197,9991,1.624032627
Prince Edward Island,25.91809121,367,0,0
Quebec,19.45085326,444585,11571,2.602651911
Saskatchewan,25.09213385,80775,916,1.134014237
